energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity,success
0.578,0.103,127.092,0.0306,0.45,8.86e-05,4,0.66,9,269021,-8.591,0.19,1,Da LAB,Thức Giấc,60,1
0.749,0.182,99.983,0.0421,0.00814,0.000508,4,0.626,1,187416,-7.893,0.279,0,Jüri Pootsmann,Ümber sõrme,34,1
0.603,0.134,129.928,0.0646,0.402,4.81e-06,4,0.9,2,170972,-5.313,0.824,1,Bad Bunny,Si Veo a Tu Mamá,80,1
0.563,0.0861,143.909,0.0285,0.657,0.0,4,0.476,9,288333,-5.528,0.201,1,Stevan Pasaribu,Belum Siap Kehilangan,72,1
0.701,0.0996,100.471,0.0698,0.0207,2.93e-06,4,0.909,7,139461,-6.102,0.626,1,Big Baby Tape,5 Nights Crazy,71,1
0.812,0.174,180.062,0.111,0.341,0.000131,4,0.747,3,330478,-4.274,0.884,0,Boza,Ella - Remix,72,1
0.448,0.12,96.98,0.0304,0.253,1.94e-06,4,0.631,9,219773,-8.838,0.43,1,Miriam Bryant,Lonely In A Crowd (feat. Joakim Berg),63,1
0.593,0.105,97.207,0.338,0.361,0.0,4,0.625,2,170000,-9.415,0.264,1,MG,LUPIN,57,1
0.859,0.0424,141.02,0.0856,0.281,0.0,4,0.788,2,207853,-2.724,0.822,1,Ed Sheeran,Shivers,94,1
0.781,0.295,124.04,0.0452,0.0185,3.12e-05,4,0.695,7,148960,-5.578,0.456,0,Becky Hill,My Heart Goes (La Di Da) (feat. Topic),70,1
0.722,0.121,95.012,0.108,0.064,0.000362,4,0.707,1,204653,-6.751,0.793,0,ABREU,"Levoton tyttö (feat. Evelina, Nelli Matula) [Vain elämää kausi 12]",60,1
0.704,0.103,122.012,0.0347,0.0669,0.602,4,0.669,5,409180,-10.207,0.262,0,Zakes Bantwini,Osama,58,1
0.1,0.0947,99.979,0.0377,0.926,0.0,4,0.777,2,175404,-14.009,0.641,0,Hafdís Huld,Bíum bíum bambaló,43,1
0.739,0.249,142.973,0.0581,0.209,0.0,4,0.602,0,156533,-4.346,0.419,1,Kasmir,Halleluja,46,1
0.51,0.456,204.025,0.349,0.0478,0.0,4,0.679,11,147934,-8.827,0.903,0,Hagle,Rullær,61,1
0.809,0.238,143.074,0.0554,0.377,0.0,4,0.769,3,108651,-4.529,0.886,1,Central Cee,Obsessed With You,84,1
0.592,0.0642,169.975,0.0437,0.18,0.00264,4,0.561,7,282353,-10.41,0.965,0,Evdeki Saat,Uzunlar - V1,75,1
0.627,0.301,145.169,0.355,0.5,0.0,4,0.741,10,172657,-8.372,0.762,0,Digga D,Red Light Green Light,72,1
0.789,0.317,135.01,0.0305,0.0141,0.0,4,0.662,7,207556,-7.634,0.881,0,Vaundy,花占い,72,1
0.731,0.301,143.058,0.269,0.0523,0.0,4,0.746,10,284665,-7.234,0.599,1,Ati242,KHRBR,70,1
0.408,0.263,168.137,0.0401,0.63,0.0,3,0.614,9,245714,-10.153,0.556,1,Toledo,En El Bar,56,1
0.397,0.095,164.654,0.0734,0.523,1.78e-06,4,0.621,5,168387,-10.269,0.524,1,Mata,La La La (Oh Oh),66,1
0.712,0.268,170.163,0.0336,0.0324,0.00068,4,0.422,9,276802,-6.222,0.385,1,Anatomy Rabbit,ขอให้โลกนี้ใจดีกับเธอ,62,1
0.658,0.119,103.942,0.0717,0.548,0.0,4,0.741,2,191538,-8.631,0.467,1,Azahriah,Mind1,60,1
0.519,0.1,97.857,0.36,0.705,0.0,4,0.737,7,161633,-7.861,0.588,1,瘦子E.SO,CHANGE,58,1
0.819,0.173,83.387,0.323,0.327,0.0,4,0.6,0,151500,-4.146,0.522,1,Eladio Carrion,Paz Mental,68,1
0.882,0.107,103.358,0.0562,0.0479,0.0,4,0.539,11,191357,-4.023,0.63,0,Eleni Foureira,Aeraki - To Thiliko,55,1
0.766,0.128,130.001,0.0343,0.00776,6.98e-05,4,0.762,7,287120,-3.955,0.442,1,Farruko,Pepas,84,1
0.614,0.108,122.015,0.0568,0.0334,0.00918,4,0.858,1,224263,-6.438,0.448,1,Stefano Cilio,Tonight - Extended,41,1
0.929,0.125,103.01,0.061,0.0431,0.00648,4,0.709,5,250288,-1.583,0.477,0,Tanishk Bagchi,"Tip Tip (From ""Sooryavanshi"")",61,1
0.41,0.0945,63.1,0.421,0.522,5.05e-05,3,0.546,4,180341,-10.538,0.317,0,Ivandro,Moça,60,1
0.718,0.118,127.951,0.234,0.329,1.69e-05,4,0.788,2,168750,-7.32,0.513,0,Smolasty,Duże Oczy,75,1
0.743,0.0674,166.043,0.0629,0.251,0.0,4,0.746,7,172621,-3.349,0.938,1,Zé Felipe,Senta Danada,81,1
0.76,0.548,158.971,0.0528,0.0067,0.000145,4,0.828,2,205294,-7.257,0.461,1,Платина,Сан Ларан,67,1
0.756,0.134,88.042,0.0679,0.0652,0.0,4,0.671,8,158995,-6.085,0.677,0,David Guetta,"Family (feat. Julie Bergan, Ty Dolla $ign & A Boogie Wit da Hoodie)",51,1
0.337,0.106,125.057,0.0433,0.45,0.0,4,0.657,9,245760,-10.546,0.183,1,Arthur Nery,Higa,74,1
0.52,0.329,89.395,0.147,0.306,4.76e-06,4,0.603,0,167500,-8.103,0.385,0,KADR,Hakim Bey,70,1
0.585,0.369,90.013,0.0305,0.348,0.00294,4,0.764,2,255640,-7.796,0.89,1,Calibre 50,Si Te Pudiera Mentir,80,1
0.903,0.0821,82.513,0.243,0.199,1.01e-05,4,0.818,4,172931,-3.929,0.628,0,Wellboy,Гуси,55,1
0.718,0.669,122.091,0.108,0.492,0.0,4,0.607,10,182951,-6.004,0.322,1,Albe,Millevoci,69,1
0.518,0.0811,122.765,0.0325,0.419,0.0,4,0.448,1,297000,-8.849,0.288,1,Jer 柳應廷,砂之器,57,1
0.521,0.123,85.012,0.0329,0.0678,0.149,4,0.588,10,260173,-9.461,0.337,1,The Neighbourhood,Daddy Issues,86,1
0.425,0.115,99.034,0.0809,0.403,0.000105,4,0.714,1,165477,-8.064,0.316,1,Montez,Auf & Ab,80,1
0.66,0.202,155.907,0.0358,0.0675,0.0,4,0.569,2,301538,-5.268,0.497,1,Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,62,1
0.748,0.128,149.985,0.0407,0.0746,0.0,4,0.762,0,209415,-6.273,0.822,0,La K'onga,El Mismo Aire,66,1
0.614,0.164,108.982,0.0257,0.349,0.00208,4,0.717,2,203680,-8.801,0.415,0,Miro Žbirka,Co boli to preboli,38,1
0.758,0.137,151.924,0.0372,0.439,0.0017,4,0.739,0,150802,-4.096,0.691,1,Avine Vinny,Coração Cachorro,86,1
0.771,0.104,112.998,0.0529,0.0152,0.0204,4,0.825,10,450267,-8.455,0.66,0,Njelic,Wamuhle,54,1
0.442,0.109,119.98,0.0266,0.0193,0.0,4,0.589,11,258050,-6.436,0.311,1,Kaleb J,Now I Know,73,1
0.573,0.113,109.928,0.0544,0.401,5.22e-05,4,0.731,4,205090,-10.059,0.145,0,Bad Bunny,DÁKITI,84,1
0.741,0.0759,112.911,0.0257,0.0846,0.0,4,0.756,5,174667,-4.813,0.762,0,Skwor,Síla Starejch Vín,55,1
0.797,0.194,94.709,0.455,0.514,0.0,4,0.718,0,344720,-6.17,0.643,0,Le classico organisé,Loi de la calle,60,1
0.281,0.102,134.88,0.0278,0.573,0.0,4,0.646,4,198107,-9.3,0.162,1,Dere,Kota,72,1
0.514,0.11,144.991,0.331,0.348,0.000127,4,0.738,11,210200,-7.933,0.518,1,Mata,Papuga,68,1
0.689,0.222,142.068,0.292,0.322,0.0,4,0.771,5,167613,-4.352,0.79,1,Niska,44,65,1
0.437,0.0894,147.88,0.0332,0.282,0.0,3,0.638,4,143933,-3.857,0.618,1,Christian Nodal,Aquí Abajo,72,1
0.516,0.0791,98.005,0.145,0.0616,0.0,4,0.86,6,190406,-5.518,0.591,0,Mau y Ricky,Mal Acostumbrao,82,1
0.227,0.297,96.844,0.0344,0.641,0.0,4,0.495,0,172009,-8.578,0.535,0,Victoria Nadine,Du er ikke alene,55,1
0.541,0.286,92.003,0.0674,0.161,5.01e-06,4,0.85,2,165275,-4.522,0.916,1,TINI,Miénteme,87,1
0.791,0.0902,93.99,0.0339,0.00328,5.52e-05,4,0.641,6,246317,-5.026,0.78,0,Melek Mosso,Hayatım Kaymış,73,1
0.667,0.146,119.958,0.279,0.356,0.0,4,0.796,4,256000,-5.512,0.139,0,Guzior,FALA,65,1
0.578,0.136,109.949,0.0478,0.495,0.0,4,0.793,5,219818,-4.607,0.673,1,Tilly Birds,เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly),64,1
0.594,0.152,171.854,0.0789,0.0626,5.14e-05,4,0.672,1,169248,-6.813,0.158,0,Bad Bunny,Si Estuviésemos Juntos,81,1
0.651,0.365,97.495,0.116,0.000795,6.86e-05,4,0.921,1,114510,-6.533,0.311,1,Big Baby Tape,Slip & Slide,70,1
0.809,0.0763,139.014,0.282,0.275,0.0,4,0.847,2,334107,-4.992,0.817,0,Le classico organisé,Les galactiques,65,1
0.729,0.102,85.996,0.42,0.184,0.00247,4,0.88,0,159077,-7.741,0.622,1,Kaleb Di Masi,Matatan,79,1
0.501,0.101,104.987,0.0374,0.36,0.000273,4,0.588,2,272125,-12.167,0.4,1,jikamarie,lutang,71,1
0.468,0.11,177.753,0.0414,0.72,0.0,4,0.501,7,237568,-8.159,0.422,1,Billkin,โคตรพิเศษ - From แปลรักฉันด้วยใจเธอ,61,1
0.925,0.0942,123.031,0.0409,0.0148,0.0,4,0.672,0,169844,-4.736,0.674,1,Nicolay Ramm,BlimE! – Dynamitt,62,1
0.92,0.0403,227.895,0.4,0.123,0.000137,4,0.63,1,136427,-1.564,0.963,0,Rochy RD,Uva Bombom,62,1
0.932,0.0714,142.959,0.294,0.522,0.055,4,0.849,2,126635,-6.76,0.754,1,Diablo,Kavatza / Kαβατζα,59,1
0.636,0.122,125.851,0.0608,0.333,0.0,4,0.671,7,170866,-6.496,0.704,1,Marília Mendonça,Motel Afrodite,72,1
0.212,0.131,126.579,0.0334,0.958,0.00157,4,0.617,0,261616,-9.856,0.219,1,Vũ.,Lạ Lùng,56,1
0.965,0.726,128.003,0.105,0.15,1.38e-06,4,0.707,1,208271,-0.736,0.777,1,Ado,踊,74,1
0.542,0.141,97.006,0.0307,0.476,0.000196,4,0.704,2,222314,-4.663,0.386,0,Lynk Lee,Buồn Thì Cứ Khóc Đi,59,1
0.721,0.0905,92.036,0.17,0.612,0.0,4,0.686,6,258587,-4.476,0.713,1,Delaossa,Veneno,74,1
0.616,0.0501,92.639,0.492,0.0957,0.0,4,0.685,7,200454,-8.08,0.868,0,Josylvio,Alsjeblieft,69,1
0.867,0.133,100.001,0.105,0.104,6.38e-06,4,0.816,4,201600,-5.382,0.657,0,Tedi Aleksandrova,Darpay ya,43,1
0.685,0.107,86.841,0.0914,0.59,0.0,4,0.702,0,166003,-5.402,0.423,1,Jireel,Dagar i regn,57,1
0.682,0.0816,91.996,0.0951,0.0616,0.000135,4,0.867,9,148716,-3.994,0.798,1,FMK,Prende la Cámara,74,1
0.609,0.0926,130.041,0.0707,0.304,0.0,4,0.664,1,210560,-6.509,0.194,1,Doja Cat,Need to Know,93,1
0.801,0.11,97.955,0.0571,0.248,0.0,4,0.799,10,183686,-2.776,0.793,1,VALMAR,Álmatlan esték,49,1
0.692,0.231,112.979,0.0502,0.546,0.00715,4,0.738,5,138654,-7.934,0.593,1,Antoon,Hyperventilatie,70,1
0.587,0.101,142.116,0.106,0.0865,0.0,4,0.729,7,249718,-7.06,0.861,0,YNY Sebi,ENZO FERRARI,52,1
0.366,0.133,141.981,0.0282,0.578,0.0,4,0.604,5,224695,-7.519,0.13,1,Adele,Easy On Me,100,1
0.704,0.415,91.246,0.206,0.767,0.0,3,0.515,9,217213,-5.25,0.885,0,KAROL G,200 COPAS,79,1
0.309,0.189,123.767,0.0313,0.961,0.000733,4,0.545,5,216774,-10.235,0.232,1,Arthur Nery,Binhi,72,1
0.641,0.104,131.914,0.0449,0.753,0.0,4,0.778,7,206171,-5.258,0.434,1,Marília Mendonça,Todo Mundo Menos Você,76,1
0.857,0.0826,135.954,0.0599,0.334,0.0,4,0.793,1,234282,-2.472,0.961,1,Malkata,Anomaliya,43,1
0.118,0.0619,113.507,0.0392,0.937,0.0,3,0.504,9,125852,-13.917,0.6,1,Hafdís Huld,Frost er úti fuglinn minn,41,1
0.539,0.0664,124.015,0.0393,0.0505,0.0,4,0.753,3,136563,-6.946,0.443,1,Alan Walker,Running Out of Roses,75,1
0.678,0.563,130.94,0.0332,0.0424,0.0,3,0.587,4,214778,-5.658,0.387,1,SANNI,Kesken,60,1
0.434,0.0896,71.585,0.0363,0.672,0.0,4,0.309,9,333629,-8.88,0.427,1,张远,嘉宾,67,1
0.669,0.171,110.001,0.0341,0.279,0.0,4,0.578,4,168645,-4.748,0.53,0,Zé Neto & Cristiano,Ela e Ela,73,1
0.533,0.368,120.035,0.0301,0.609,1.05e-06,4,0.746,2,179307,-5.721,0.456,1,Miro Žbirka,Mam rad,22,1
0.675,0.117,92.94,0.347,0.342,3.19e-05,4,0.536,3,150918,-7.747,0.856,0,TOQUEL,Kokaina,57,1
0.802,0.361,109.982,0.0629,0.0831,0.0,4,0.619,0,231386,-6.618,0.535,1,King Gnu,BOY,72,1
